id;start_date;end_date;language
1;2019-10-23T06:00:35;2019-10-22T23:08:52;FRENCH
2;2019-10-23T07:30:40;2019-10-22T16:36:51;FRENCH
3;2019-10-23T03:02:45;2019-10-22T18:26:45;SPANISH
4;2019-10-22T16:14:36;2019-10-22T23:41:38;ENGLISH
5;2019-10-23T01:13:15;2019-10-23T05:57:24;FRENCH
6;2019-10-23T07:30:16;2019-10-23T08:47:12;FRENCH
7;2019-10-22T16:52:36;2019-10-23T05:33:23;ENGLISH
8;2019-10-22T14:23:54;2019-10-22T22:24:03;SPANISH
9;2019-10-23T00:12:01;2019-10-23T08:36:39;ENGLISH
10;2019-10-23T03:30:10;2019-10-23T00:46:25;SPANISH
